loan_id,monthly_income,origination_score_band,TOB_months,closing_principal_balance,original_loan_amount,product,original_loan_term,remaining_loan_term,delq_history,target
1000,6000,5,83,300,1800,B,24,5,"0,0,0,0,0,0",0
1001,39000,5,82,7200,11700,B,60,42,"0,1,0,0,0,0",0
1002,18000,5,78,2700,5400,B,60,46,"0,0,1,0,0,0",0
1003,23250,3,76,3900,6900,B,60,48,"1,1,0,1,0,0",1
1004,12000,3,74,2100,3600,B,60,50,"1,0,0,0,0,0",0
1005,60000,5,72,13500,18000,B,60,52,"0,0,0,0,0,0",0
1006,15750,3,71,2700,4800,B,59,52,"0,0,0,0,0,0",0
1007,51000,3,70,12600,15300,B,60,54,"0,0,0,0,0,0",1
1008,6000,4,68,600,1800,B,23,19,"0,0,0,0,0,0",1
1009,26250,5,68,4800,7800,B,60,56,"0,0,0,0,0,0",1
1010,15000,4,66,2700,4500,B,60,58,"0,0,0,0,0,0",0
1010,15000,4,66,2700,4500,B,60,58,"0,0,0,0,0,0",0
1011,20250,6,64,3600,6000,B,60,0,"0,0,0,0,0,0",1
1012,20250,4,64,5100,6000,B,60,0,"1,0,0,0,0,0",0
1013,12750,4,64,2400,3900,B,60,0,"1,0,0,0,0,0",0
1014,33000,3,63,6900,9900,B,60,1,"0,0,0,0,0,0",0
1015,9750,5,63,300,3000,B,60,2,"0,0,0,0,0,0",0
1016,,4,,,,A,60,1,,0
1017,6750,3,62,900,2100,A,60,2,"0,0,0,0,0,0",0
1018,15750,3,60,3300,4800,B,60,4,"1,2,0,1,1,1",0
1019,15000,4,62,3000,4500,B,60,2,"1,1,1,2,3,3",1
1020,3000,3,60,600,900,A,60,4,"0,0,0,0,0,0",1
1021,,3,,,,B,60,3,,0
1022,21750,4,61,4500,6600,B,60,3,"0,0,0,0,0,0",0
1023,27000,5,60,1200,8100,A,60,8,"0,0,0,0,0,0",0
1024,12750,3,60,1800,3900,B,60,4,"0,0,0,0,0,0",0
1025,87000,3,58,21000,26100,B,60,6,"1,1,1,1,0,1",0
1026,30750,3,57,4800,9300,B,60,7,"0,0,0,0,0,0",0
1027,9750,3,57,2400,3000,B,60,7,"0,0,0,0,0,0",0
1027,9750,3,57,2400,3000,B,60,7,"0,0,0,0,0,0",0
1028,14250,3,56,3000,4200,B,60,8,"0,0,0,0,0,0",0
1029,9000,3,56,2400,2700,A,60,8,"0,0,0,0,0,0",1
1030,23250,5,54,4500,6900,B,60,10,"0,0,0,0,0,0",0
1031,9000,5,54,2100,2700,A,60,10,"0,0,0,0,0,0",1
1031,9000,5,54,2100,2700,A,60,10,"0,0,0,0,0,0",1
1032,11250,8,55,2700,3300,A,60,9,"0,0,0,0,0,0",1
1033,12750,6,54,2700,3900,A,60,10,"1,1,1,1,1,0",0
1034,12750,5,51,3300,3900,A,60,12,"0,0,0,0,0,0",0
1035,18000,3,52,3300,5400,B,60,12,"0,0,0,0,0,0",0
1036,6000,4,52,1500,1800,A,60,12,"0,0,0,0,0,0",1
1037,8250,2,51,1800,2400,A,63,16,"0,0,0,0,0,0",0
1038,42750,3,50,12000,12900,B,60,14,"0,0,0,0,0,0",0
1039,15000,5,50,3900,4500,A,60,14,"0,0,0,0,0,0",0
1040,8250,6,50,600,2400,B,60,14,"0,0,0,0,0,0",0
1041,20250,2,50,4500,6000,B,60,14,"0,0,0,0,0,0",0
1042,17250,3,50,4200,5100,A,60,14,"0,0,0,0,0,0",0
1043,14250,5,50,3600,4200,B,60,14,"0,0,0,0,0,0",1
1044,27000,3,50,7500,8100,B,60,14,"0,0,0,0,0,0",0
1045,27750,4,49,7500,8400,B,60,15,"0,0,0,0,0,1",1
1046,18750,5,49,4200,5700,A,60,15,"0,0,0,0,0,0",0
1047,12000,5,48,3000,3600,A,60,16,"0,0,0,0,0,0",1
1047,12000,5,48,3000,3600,A,60,16,"0,0,0,0,0,0",1
1048,9750,3,49,2700,3000,A,60,15,"0,0,0,0,0,0",0
1049,,3,,,,B,60,17,,0
1050,8250,5,49,2100,2400,A,60,15,"1,1,1,1,1,0",0
1051,8250,5,47,2100,2400,A,60,17,"0,0,0,0,1,0",0
1052,3000,6,47,600,900,A,60,17,"0,0,1,0,0,0",1
1053,45000,4,46,11400,13500,B,60,18,"0,0,0,0,0,0",0
1054,6750,3,41,1800,2100,A,60,23,"0,0,0,0,0,0",1
